question,answer
what is fever,Fever is a temporary increase in body temperature usually caused by infection or illness.
what causes fever,Fever is commonly caused by viral infections bacterial infections dengue malaria or flu.
what causes headache,Headaches can occur due to stress dehydration migraine lack of sleep sinus infection or high blood pressure.
what is migraine,Migraine is a neurological condition causing severe headaches nausea and sensitivity to light.
what causes cold,Common cold is caused by viruses and leads to sneezing cough sore throat and congestion.
what is cough,Cough is a reflex action that clears the throat and airways of mucus or irritants.
what causes cough,Cough can be caused by cold flu throat infection asthma or allergies.
what is dengue,Dengue is a viral infection transmitted by mosquitoes causing fever headache and joint pain.
what causes dengue,Dengue is caused by the dengue virus transmitted through infected mosquito bites.
what is malaria,Malaria is a disease caused by parasites transmitted through mosquito bites.
what causes malaria,Malaria occurs when parasites infect the body through mosquito bites.
what is diabetes,Diabetes is a disease where the body cannot properly regulate blood sugar levels.
what causes diabetes,Diabetes may occur due to genetic factors poor diet obesity or insulin resistance.
what is hypertension,Hypertension means high blood pressure which increases risk of heart disease.
what causes high blood pressure,High blood pressure may be caused by stress obesity unhealthy diet or genetics.
what is heart attack,A heart attack occurs when blood flow to the heart muscle becomes blocked.
what causes heart attack,Heart attacks are caused by blocked coronary arteries usually due to cholesterol buildup.
what is pneumonia,Pneumonia is a lung infection causing cough fever breathing difficulty and chest pain.
what causes pneumonia,Pneumonia may be caused by bacteria viruses or fungi affecting the lungs.
what is stomach pain,Stomach pain refers to discomfort in the abdominal region.
what causes stomach pain,Stomach pain may occur due to indigestion infection ulcers or food poisoning.
what causes vomiting,Vomiting may be caused by infections food poisoning pregnancy or stomach irritation.
what causes nausea,Nausea may occur due to digestive problems infections pregnancy or medications.
what is food poisoning,Food poisoning occurs after eating contaminated food containing bacteria viruses or toxins.
what causes diarrhea,Diarrhea is often caused by infections contaminated food or digestive disorders.
what is dehydration,Dehydration occurs when the body loses more fluids than it takes in.
what causes dehydration,Dehydration can result from vomiting diarrhea sweating or insufficient water intake.
what improves immunity,Immunity improves through balanced diet exercise proper sleep and stress management.
what foods boost immunity,Fruits vegetables nuts seeds and protein rich foods help strengthen immunity.
what is healthy diet,A healthy diet includes fruits vegetables whole grains lean protein and adequate water.
what causes fatigue,Fatigue may be caused by stress poor sleep anemia or infections.
what causes dizziness,Dizziness may occur due to dehydration low blood pressure or inner ear problems.
what is asthma,Asthma is a respiratory condition causing breathing difficulty wheezing and coughing.
what causes asthma,Asthma may be triggered by allergens pollution infections or exercise.
what causes chest pain,Chest pain may occur due to heart problems muscle strain or digestive disorders.
what is anemia,Anemia is a condition where the body lacks enough healthy red blood cells.
what causes anemia,Anemia may occur due to iron deficiency blood loss or vitamin deficiency.
what causes obesity,Obesity may result from excessive calorie intake lack of exercise or genetic factors.
what is cholesterol,Cholesterol is a fatty substance in blood necessary for body functions but harmful in excess.
what causes high cholesterol,High cholesterol may occur due to unhealthy diet lack of exercise or genetics.
what is stroke,Stroke occurs when blood supply to part of the brain is interrupted.
what causes stroke,Stroke may occur due to blocked arteries or bleeding in the brain.
what causes joint pain,Joint pain may occur due to arthritis injury infection or inflammation.
what is arthritis,Arthritis is inflammation of joints causing pain stiffness and swelling.
what causes skin rash,Skin rashes may be caused by allergies infections or skin irritation.
what causes acne,Acne occurs due to clogged hair follicles excess oil production or hormonal changes.
what is flu,Flu is a viral infection causing fever cough body aches and fatigue.
what causes flu,Flu is caused by influenza viruses that spread through respiratory droplets.
what is tuberculosis,Tuberculosis is a bacterial infection affecting the lungs.
what causes tuberculosis,Tuberculosis is caused by Mycobacterium tuberculosis bacteria.
how to prevent dengue,Dengue prevention includes avoiding mosquito bites and removing standing water.
how to prevent malaria,Malaria prevention includes mosquito nets repellents and eliminating mosquito breeding sites.
how to prevent cold,Cold prevention includes washing hands avoiding infected people and maintaining good hygiene.
how to improve heart health,Heart health improves through regular exercise balanced diet and avoiding smoking.
how to improve lung health,Lung health improves by avoiding smoking exercising regularly and reducing pollution exposure.
how to reduce stress,Stress can be reduced through meditation exercise proper sleep and relaxation techniques.
what exercise is good for health,Walking jogging yoga cycling and swimming are good exercises for health.
how much water should we drink,Adults should drink about 2 to 3 liters of water daily depending on activity level.
what causes insomnia,Insomnia may be caused by stress anxiety caffeine or irregular sleep schedule.
how to improve sleep quality,Improve sleep by maintaining routine avoiding screens before bed and relaxing before sleep.
what causes hair loss,Hair loss may occur due to genetics hormonal changes stress or nutritional deficiencies.
what causes allergy,Allergies occur when the immune system reacts to harmless substances like pollen dust or food.
